Feature \ Sample	SRS011061	SRS011134	SRS011239
1|A0A134A3S3	0	0	0
1|A0A134BJE8	0	0	0
1|A0A134C3W7	0	0	0
1|A0A135L7J8	0	0	0
1|A0A135PAX0	0	0	0
1|A0A135YXS0	0	0	0
1|A0A137SUC7	0	0	0
1|A0A139TRY3	0	0.000825826	0.00257071
1|A0A140L0L2	0	0	0
1|A0A140L3K1	0	0	0
1|A0A142BES5	0	0	0
1|A0A143DC78	0	0	0
1|A0A143PKD2	0	0	0
1|A0A143X866	0	0	0
1|A0A143Y0A2	0	0	0
1|A0A143Y6U5	0	0	0
1|A0A143ZRH1	0	0	0
1|A0A147KC58	0	0	0
1|A0A149PLC6	0	0	0
1|A0A150FPA5	0	0	0
1|A0A150HF03	0	0	0
1|A0A150LDR9	0	0	0
1|A0A151AKK2	0	0	0
1|A0A151B461	0	0	0
1|A0A154BQG9	0	0	0
1|A0A161Q8C6	0	0	0
1|A0A161XEE6	0	0	0
1|A0A162MAZ7	0	0	0
1|A0A162U4K9	0	0	0
1|A0A168EHU4	0	0	0
1|A0A171CQM2	0	0	0
1|A0A172ZIR7	0	0	0
1|A0A173TLM9	0	0	0.000297826
1|A0A173UIV7	0	0	0
1|A0A173V5T2	0	0.0272522	0.0379729
1|A0A173Z395	0	0.00260787	0.00235126
1|A0A173Z7M6	0	0	0
1|A0A174C5P0	0	0	0
1|A0A174DYF6	0	0	0
1|A0A174HXK8	0	0	0
1|A0A174K6I9	0	0	0
1|A0A174U615	0	0	0
1|A0A176U6F7	0.000576869	0.000359055	0
1|A0A177HSS1	0	0	0
1|A0A177PNZ8	0	0	0
1|A0KJM1	0	0	0
1|A1HSK2	0	0	0
1|A1SZS9	0	0	0
1|A3DCR3	0	0	0
1|A4BFV6	0	0	0
1|A4J0I6	0	0	0
1|A5EX31	0	0	0
1|A5Z7S4	0	0.00132132	0
1|A6TQA1	0	0	0
1|A7VWF1	0	0	0
1|A9KP13	0	0	0
1|B0CB05	0	0	0
1|B0G5G7	0.0119412	0.0842342	0.0893479
1|B1BDB3	0	0	0
1|B1C050	0	0	0
1|B1YK07	0	0	0
1|B2C7U9	0	0	0
1|B2VC83	0	0	0
1|B4W4D2	0	0	0
1|B5JLT9	0	0	0
1|B7AWZ0	0.0039804	0.00247748	0
1|B7K8P6	0	0	0
1|B8D1B0	0	0	0
1|B8I4R2	0	0	0
1|B8I6R8	0	0	0
1|B9E0N4	0	0	0
1|C0B1J2	0	0	0
1|C0CSX4	0.0141202	0.039447	0.00586382
1|C0EA67	0	0	0
1|C0FTS7	0.00230748	0.000718109	0.00194235
1|C2KV82	0	0	0
1|C3WFR1	0	0	0
1|C4FBT5	0	0	0
1|C4FSB9	0	0.000344094	0
1|C4GDR0	0	0	0
1|C5BMB9	0	0	0
1|C6D209	0	0	0
1|C6J2H3	0	0.00066066	0.000595653
1|C6WJY3	0	0	0
1|C7H993	0.00636864	0.0374925	0.0115222
1|C7R4J4	0	0	0
1|C8XCT6	0	0	0
1|C9LUW1	0	0	0
1|C9RPI5	0	0	0
1|D1AMI9	0	0	0
1|D1AUW1	0	0	0
1|D1BT72	0	0	0
1|D1Y1E9	0	0	0
1|D2MMP6	0.0206981	0.0627627	0.0202522
1|D3I9C9	0.0119412	0.0396396	0.00670109
1|D3LUD9	0	0	0
1|D3R200	0	0	0
1|D3R5S3	0	0	0.000496377
1|D4CJM5	0	0	0
1|D4IZ81	0	0	0
1|D4JVN6	0	0.00230588	0
1|D4LB44	0	0	0
1|D4S0S1	0	0.0345814	0
1|D4TM85	0	0	0
1|D4YGI4	0	0	0
1|D5ELH3	0	0	0
1|D5ESF4	0	0	0
1|D6XUK9	0	0	0
1|D6ZIS0	0	0	0
1|D7BMN4	0	0	0
1|D7GQS9	0.0119412	0.0619369	0.0357392
1|D7N7L2	0	0	0
1|D8E078	0	0.00990991	0
1|D8G7K5	0	0	0
1|D9SCV5	0	0	0
1|D9SL39	0	0	0
1|D9VZR7	0	0	0
1|E0NIM5	0	0	0
1|E0RUH3	0.0119412	0.0198198	0.0201033
1|E1QYF7	0.00351444	0.0379487	0.0148248
1|E1R7A1	0	0	0
1|E2SLD8	0.00026536	0.0189183	0.000620471
1|E3DM53	0	0	0
1|E3H745	0	0	0
1|E3HCG6	0	0	0
1|E3PV55	0	0	0
1|E4KLP5	0	0	0
1|E6U048	0	0	0
1|E6U8V7	0	0	0
1|E7FXF3	0	0	0
1|E7N3P7	0	0	0
1|E7RTP4	0	0	0
1|E8LM74	0	0	0
1|E8QXD2	0	0	0
1|F0EN49	0	0	0
1|F0RYP8	0	0	0
1|F2JQP5	0	0	0
1|F2JRZ7	0	0	0
1|F2NAZ8	0	0	0
1|F2NV23	0	0	0
1|F3ZPC3	0	0	0
1|F3ZVT9	0	0	0
1|F4GJK5	0	0	0
1|F4XA96	0	0	0
1|F5IWH1	0	0	0
1|F5LM48	0	0	0
1|F5XM98	0	0	0
1|F6DKN3	0	0	0
1|F7NKS6	0	0	0
1|F8FL49	0	0	0
1|G5GCR8	0.0106144	0.00132132	0.000595653
1|G5GGT3	0	0	0
1|G6AYB2	0	0	0
1|G6F283	0	0	0
1|G8LV60	0	0	0
1|G8LWF9	0	0	0
1|G8PHX0	0	0	0
1|G8QQ85	0	0	0
1|G9PYD1	0	0	0
1|G9ZEY4	0	0.00112613	0.000676878
1|H1PY77	0	0	0
1|H3NER1	0	0	0
1|H3NLJ9	0	0	0
1|H7EMS4	0	0	0
1|H9ULQ9	0	0	0
1|I0GQ15	0	0	0
1|I0HDM9	0	0	0
1|I0HLI6	0	0	0
1|I0JMF0	0	0	0
1|I0XBB9	0	0	0
1|I4YSR6	0	0	0
1|I6GMV0	0	0	0
1|J0N6Y4	0	0	0
1|J1H192	0	0	0
1|J3A7Z9	0	0	0
1|J6UFD4	0	0	0
1|K0IVJ3	0	0	0
1|K1LWJ5	0	0	0
1|K1RRD4	0.00147422	0	0
1|K4L4U4	0	0	0
1|K4ZP40	0	0	0
1|K6VLT2	0	0	0
1|K6WJG3	0	0	0
1|K6WWQ2	0	0	0
1|K8DZK6	0	0	0
1|K8ZL96	0	0	0
1|K9DJL8	0	0	0
1|K9EVS0	0	0	0
1|K9EY01	0	0	0
1|K9HLM4	0	0	0
1|K9PWB0	0	0	0
1|K9TPS1	0	0	0
1|K9VNF7	0	0	0
1|K9WBS8	0	0	0
1|K9XN02	0	0	0
